,label,run,error,rho,time
330,PLAN(noscale)-clipped,13,6.752212646735185,0.25,7.702051877975464
331,PLAN(noscale)-unclipped,13,6.197924258697369,0.25,7.702051877975464
332,PLAN(oracle)-clipped,14,3.980305303617757,0.25,7.585179805755615
333,PLAN(oracle)-unclipped,14,3.2649677030455724,0.25,7.585179805755615
334,PLAN(paper)-clipped,14,6.249614121245291,0.25,7.781109809875488
335,PLAN(paper)-unclipped,14,5.5806890624860275,0.25,7.781109809875488
336,PLAN(noscale)-clipped,14,6.903844078221172,0.25,7.5860755443573
337,PLAN(noscale)-unclipped,14,6.478075145732046,0.25,7.5860755443573
338,PLAN(oracle)-clipped,15,3.9689317239317097,0.25,7.598026752471924
339,PLAN(oracle)-unclipped,15,3.175970011783503,0.25,7.598026752471924
340,PLAN(paper)-clipped,15,6.095897266709356,0.25,7.679751634597778
341,PLAN(paper)-unclipped,15,5.14272165952951,0.25,7.679751634597778
342,PLAN(noscale)-clipped,15,7.135288883824131,0.25,7.764606237411499
343,PLAN(noscale)-unclipped,15,6.8174134295006,0.25,7.764606237411499
344,PLAN(oracle)-clipped,16,4.129945465760228,0.25,7.58864688873291
345,PLAN(oracle)-unclipped,16,3.7111866003322236,0.25,7.58864688873291
346,PLAN(paper)-clipped,16,6.250347942765147,0.25,7.657220840454102
347,PLAN(paper)-unclipped,16,5.5922394394158665,0.25,7.657220840454102
348,PLAN(noscale)-clipped,16,6.81612514916702,0.25,7.725066900253296
349,PLAN(noscale)-unclipped,16,6.2911886644387955,0.25,7.725066900253296
350,PLAN(oracle)-clipped,17,4.032866028155174,0.25,7.533976078033447
351,PLAN(oracle)-unclipped,17,3.518585771066983,0.25,7.533976078033447
352,PLAN(paper)-clipped,17,6.670213262302211,0.25,7.881468772888184
353,PLAN(paper)-unclipped,17,6.281070193193599,0.25,7.881468772888184
354,PLAN(noscale)-clipped,17,9.315745792668174,0.25,7.7908408641815186
355,PLAN(noscale)-unclipped,17,9.28881171714394,0.25,7.7908408641815186
356,PLAN(oracle)-clipped,18,3.9675565345033363,0.25,7.696543216705322
357,PLAN(oracle)-unclipped,18,3.285214346991318,0.25,7.696543216705322
358,PLAN(paper)-clipped,18,7.069467827471398,0.25,7.5131001472473145
359,PLAN(paper)-unclipped,18,6.836851761613102,0.25,7.5131001472473145
360,PLAN(noscale)-clipped,18,6.819798588897752,0.25,7.63849401473999
361,PLAN(noscale)-unclipped,18,6.347714602145022,0.25,7.63849401473999
362,PLAN(oracle)-clipped,19,4.194855007278717,0.25,7.65675950050354
363,PLAN(oracle)-unclipped,19,3.8462451483633746,0.25,7.65675950050354
364,PLAN(paper)-clipped,19,6.424476456629884,0.25,7.634615659713745
365,PLAN(paper)-unclipped,19,5.893159619282325,0.25,7.634615659713745
366,PLAN(noscale)-clipped,19,7.475561122629833,0.25,7.779973268508911
367,PLAN(noscale)-unclipped,19,7.23012907599247,0.25,7.779973268508911
368,instance optimal,0,7.848994509932275,0.25,851.9766113758087
369,instance optimal unclipped,0,7.588373294447064,0.25,851.9766113758087
370,instance optimal,1,7.823861277214463,0.25,847.3340301513672
