,Algorithm,u,n,d,rho,mean,cov,r,run,error
95,Empirical mean (non-private),"(-25600.0, 25600.0)",10000,512,0.0625,10,STRATEGY_ZIPF_SKEWED,0.0,23,0.22227775870256852
96,PLAN-E-ULTIMATE++,"(-25600.0, 25600.0)",10000,512,0.0625,10,STRATEGY_ZIPF_SKEWED,0.0,24,0.5008714358429543
97,PLAN-NOSCALE,"(-25600.0, 25600.0)",10000,512,0.0625,10,STRATEGY_ZIPF_SKEWED,0.0,24,0.417145167565464
98,Instance optimal,"(-25600.0, 25600.0)",10000,512,0.0625,10,STRATEGY_ZIPF_SKEWED,0.0,24,0.4204924184592593
99,Empirical mean (non-private),"(-25600.0, 25600.0)",10000,512,0.0625,10,STRATEGY_ZIPF_SKEWED,0.0,24,0.2335801679415839
100,PLAN-E-ULTIMATE++,"(-25600.0, 25600.0)",10000,512,0.0625,10,STRATEGY_ZIPF_SKEWED,0.0,25,0.4539661097783085
101,PLAN-NOSCALE,"(-25600.0, 25600.0)",10000,512,0.0625,10,STRATEGY_ZIPF_SKEWED,0.0,25,0.41788074462154984
102,Instance optimal,"(-25600.0, 25600.0)",10000,512,0.0625,10,STRATEGY_ZIPF_SKEWED,0.0,25,0.42592370562761234
103,Empirical mean (non-private),"(-25600.0, 25600.0)",10000,512,0.0625,10,STRATEGY_ZIPF_SKEWED,0.0,25,0.22038227691786236
104,PLAN-E-ULTIMATE++,"(-25600.0, 25600.0)",10000,512,0.0625,10,STRATEGY_ZIPF_SKEWED,0.0,26,0.48988439128866407
105,PLAN-NOSCALE,"(-25600.0, 25600.0)",10000,512,0.0625,10,STRATEGY_ZIPF_SKEWED,0.0,26,0.43445557728565376
106,Instance optimal,"(-25600.0, 25600.0)",10000,512,0.0625,10,STRATEGY_ZIPF_SKEWED,0.0,26,0.4359430614186691
107,Empirical mean (non-private),"(-25600.0, 25600.0)",10000,512,0.0625,10,STRATEGY_ZIPF_SKEWED,0.0,26,0.23236967716982
108,PLAN-E-ULTIMATE++,"(-25600.0, 25600.0)",10000,512,0.0625,10,STRATEGY_ZIPF_SKEWED,0.0,27,0.4575962996580649
109,PLAN-NOSCALE,"(-25600.0, 25600.0)",10000,512,0.0625,10,STRATEGY_ZIPF_SKEWED,0.0,27,0.3883814439745676
110,Instance optimal,"(-25600.0, 25600.0)",10000,512,0.0625,10,STRATEGY_ZIPF_SKEWED,0.0,27,0.4230779764539112
111,Empirical mean (non-private),"(-25600.0, 25600.0)",10000,512,0.0625,10,STRATEGY_ZIPF_SKEWED,0.0,27,0.2303133688930299
112,PLAN-E-ULTIMATE++,"(-25600.0, 25600.0)",10000,512,0.0625,10,STRATEGY_ZIPF_SKEWED,0.0,28,0.48612537527482413
113,PLAN-NOSCALE,"(-25600.0, 25600.0)",10000,512,0.0625,10,STRATEGY_ZIPF_SKEWED,0.0,28,0.4226594936124895
114,Instance optimal,"(-25600.0, 25600.0)",10000,512,0.0625,10,STRATEGY_ZIPF_SKEWED,0.0,28,0.435808458009648
115,Empirical mean (non-private),"(-25600.0, 25600.0)",10000,512,0.0625,10,STRATEGY_ZIPF_SKEWED,0.0,28,0.2266489755802427
116,PLAN-E-ULTIMATE++,"(-25600.0, 25600.0)",10000,512,0.0625,10,STRATEGY_ZIPF_SKEWED,0.0,29,0.4756218078217665
117,PLAN-NOSCALE,"(-25600.0, 25600.0)",10000,512,0.0625,10,STRATEGY_ZIPF_SKEWED,0.0,29,0.4175284643919053
118,Instance optimal,"(-25600.0, 25600.0)",10000,512,0.0625,10,STRATEGY_ZIPF_SKEWED,0.0,29,0.421891595237285
119,Empirical mean (non-private),"(-25600.0, 25600.0)",10000,512,0.0625,10,STRATEGY_ZIPF_SKEWED,0.0,29,0.23514238532738344
120,PLAN-E-ULTIMATE++,"(-25600.0, 25600.0)",10000,512,0.0625,10,STRATEGY_ZIPF_SKEWED,0.0,30,0.4765323421107562
121,PLAN-NOSCALE,"(-25600.0, 25600.0)",10000,512,0.0625,10,STRATEGY_ZIPF_SKEWED,0.0,30,0.3724396135263775
122,Instance optimal,"(-25600.0, 25600.0)",10000,512,0.0625,10,STRATEGY_ZIPF_SKEWED,0.0,30,0.404529881272771
123,Empirical mean (non-private),"(-25600.0, 25600.0)",10000,512,0.0625,10,STRATEGY_ZIPF_SKEWED,0.0,30,0.21263517362243645
124,PLAN-E-ULTIMATE++,"(-25600.0, 25600.0)",10000,512,0.0625,10,STRATEGY_ZIPF_SKEWED,0.0,31,0.4742742806250406
125,PLAN-NOSCALE,"(-25600.0, 25600.0)",10000,512,0.0625,10,STRATEGY_ZIPF_SKEWED,0.0,31,0.376210311486598
126,Instance optimal,"(-25600.0, 25600.0)",10000,512,0.0625,10,STRATEGY_ZIPF_SKEWED,0.0,31,0.42270275873424984
127,Empirical mean (non-private),"(-25600.0, 25600.0)",10000,512,0.0625,10,STRATEGY_ZIPF_SKEWED,0.0,31,0.21773944465576422
128,PLAN-E-ULTIMATE++,"(-25600.0, 25600.0)",10000,512,0.0625,10,STRATEGY_ZIPF_SKEWED,0.0,32,0.46193398630412996
129,PLAN-NOSCALE,"(-25600.0, 25600.0)",10000,512,0.0625,10,STRATEGY_ZIPF_SKEWED,0.0,32,0.4083619334166625
130,Instance optimal,"(-25600.0, 25600.0)",10000,512,0.0625,10,STRATEGY_ZIPF_SKEWED,0.0,32,0.4063013124740195
131,Empirical mean (non-private),"(-25600.0, 25600.0)",10000,512,0.0625,10,STRATEGY_ZIPF_SKEWED,0.0,32,0.23024189435872958
132,PLAN-E-ULTIMATE++,"(-25600.0, 25600.0)",10000,512,0.0625,10,STRATEGY_ZIPF_SKEWED,0.0,33,0.48461056015078424
133,PLAN-NOSCALE,"(-25600.0, 25600.0)",10000,512,0.0625,10,STRATEGY_ZIPF_SKEWED,0.0,33,0.4185846224275836
134,Instance optimal,"(-25600.0, 25600.0)",10000,512,0.0625,10,STRATEGY_ZIPF_SKEWED,0.0,33,0.42254488566085135
