,Algorithm,u,n,d,rho,mean,cov,r,run,error
88,PLAN-E-ULTIMATE++,"(-100.0, 100.0)",4000,16,0.125,0,STRATEGY_UNIFORM,0,22,0.0683093672186217
89,PLAN-NOSCALE,"(-100.0, 100.0)",4000,16,0.125,0,STRATEGY_UNIFORM,0,22,0.06866432771312626
90,Instance optimal,"(-100.0, 100.0)",4000,16,0.125,0,STRATEGY_UNIFORM,0,22,0.06372930580333244
91,Empirical mean (non-private),"(-100.0, 100.0)",4000,16,0.125,0,STRATEGY_UNIFORM,0,22,0.052517101562886095
92,PLAN-E-ULTIMATE++,"(-100.0, 100.0)",4000,16,0.125,0,STRATEGY_UNIFORM,0,23,0.04307927781212461
93,PLAN-NOSCALE,"(-100.0, 100.0)",4000,16,0.125,0,STRATEGY_UNIFORM,0,23,0.05548041243442446
94,Instance optimal,"(-100.0, 100.0)",4000,16,0.125,0,STRATEGY_UNIFORM,0,23,0.03417436333046257
95,Empirical mean (non-private),"(-100.0, 100.0)",4000,16,0.125,0,STRATEGY_UNIFORM,0,23,0.03763449981001511
96,PLAN-E-ULTIMATE++,"(-100.0, 100.0)",4000,16,0.125,0,STRATEGY_UNIFORM,0,24,0.05203935697940141
97,PLAN-NOSCALE,"(-100.0, 100.0)",4000,16,0.125,0,STRATEGY_UNIFORM,0,24,0.08063325695094394
98,Instance optimal,"(-100.0, 100.0)",4000,16,0.125,0,STRATEGY_UNIFORM,0,24,0.049454564450143304
99,Empirical mean (non-private),"(-100.0, 100.0)",4000,16,0.125,0,STRATEGY_UNIFORM,0,24,0.04251138600825134
100,PLAN-E-ULTIMATE++,"(-100.0, 100.0)",4000,16,0.125,0,STRATEGY_UNIFORM,0,25,0.07848047219070929
101,PLAN-NOSCALE,"(-100.0, 100.0)",4000,16,0.125,0,STRATEGY_UNIFORM,0,25,0.08107441561935147
102,Instance optimal,"(-100.0, 100.0)",4000,16,0.125,0,STRATEGY_UNIFORM,0,25,0.07807864068372264
103,Empirical mean (non-private),"(-100.0, 100.0)",4000,16,0.125,0,STRATEGY_UNIFORM,0,25,0.07036362563722923
104,PLAN-E-ULTIMATE++,"(-100.0, 100.0)",4000,16,0.125,0,STRATEGY_UNIFORM,0,26,0.07938684386300994
105,PLAN-NOSCALE,"(-100.0, 100.0)",4000,16,0.125,0,STRATEGY_UNIFORM,0,26,0.09840702127811406
106,Instance optimal,"(-100.0, 100.0)",4000,16,0.125,0,STRATEGY_UNIFORM,0,26,0.08336837236104482
107,Empirical mean (non-private),"(-100.0, 100.0)",4000,16,0.125,0,STRATEGY_UNIFORM,0,26,0.0783322678738187
108,PLAN-E-ULTIMATE++,"(-100.0, 100.0)",4000,16,0.125,0,STRATEGY_UNIFORM,0,27,0.07032658850791515
109,PLAN-NOSCALE,"(-100.0, 100.0)",4000,16,0.125,0,STRATEGY_UNIFORM,0,27,0.06979844565439612
110,Instance optimal,"(-100.0, 100.0)",4000,16,0.125,0,STRATEGY_UNIFORM,0,27,0.0782242644564622
111,Empirical mean (non-private),"(-100.0, 100.0)",4000,16,0.125,0,STRATEGY_UNIFORM,0,27,0.06940136656776322
112,PLAN-E-ULTIMATE++,"(-100.0, 100.0)",4000,16,0.125,0,STRATEGY_UNIFORM,0,28,0.037688614923051186
113,PLAN-NOSCALE,"(-100.0, 100.0)",4000,16,0.125,0,STRATEGY_UNIFORM,0,28,0.06405627702566011
114,Instance optimal,"(-100.0, 100.0)",4000,16,0.125,0,STRATEGY_UNIFORM,0,28,0.055095224682768215
115,Empirical mean (non-private),"(-100.0, 100.0)",4000,16,0.125,0,STRATEGY_UNIFORM,0,28,0.0451271066056028
116,PLAN-E-ULTIMATE++,"(-100.0, 100.0)",4000,16,0.125,0,STRATEGY_UNIFORM,0,29,0.05342843439057941
117,PLAN-NOSCALE,"(-100.0, 100.0)",4000,16,0.125,0,STRATEGY_UNIFORM,0,29,0.07466983762951372
118,Instance optimal,"(-100.0, 100.0)",4000,16,0.125,0,STRATEGY_UNIFORM,0,29,0.051932158350116504
119,Empirical mean (non-private),"(-100.0, 100.0)",4000,16,0.125,0,STRATEGY_UNIFORM,0,29,0.04666967086470472
120,PLAN-E-ULTIMATE++,"(-100.0, 100.0)",4000,16,0.125,0,STRATEGY_UNIFORM,0,30,0.05307060444896277
121,PLAN-NOSCALE,"(-100.0, 100.0)",4000,16,0.125,0,STRATEGY_UNIFORM,0,30,0.07203952798331226
122,Instance optimal,"(-100.0, 100.0)",4000,16,0.125,0,STRATEGY_UNIFORM,0,30,0.06262685581226181
123,Empirical mean (non-private),"(-100.0, 100.0)",4000,16,0.125,0,STRATEGY_UNIFORM,0,30,0.053347685736508145
124,PLAN-E-ULTIMATE++,"(-100.0, 100.0)",4000,16,0.125,0,STRATEGY_UNIFORM,0,31,0.050594738922970575
125,PLAN-NOSCALE,"(-100.0, 100.0)",4000,16,0.125,0,STRATEGY_UNIFORM,0,31,0.06576182632149953
126,Instance optimal,"(-100.0, 100.0)",4000,16,0.125,0,STRATEGY_UNIFORM,0,31,0.050419318157598376
127,Empirical mean (non-private),"(-100.0, 100.0)",4000,16,0.125,0,STRATEGY_UNIFORM,0,31,0.04454527608950551
128,PLAN-E-ULTIMATE++,"(-100.0, 100.0)",4000,16,0.125,0,STRATEGY_UNIFORM,0,32,0.08586483296724404
129,PLAN-NOSCALE,"(-100.0, 100.0)",4000,16,0.125,0,STRATEGY_UNIFORM,0,32,0.09619920705610009
130,Instance optimal,"(-100.0, 100.0)",4000,16,0.125,0,STRATEGY_UNIFORM,0,32,0.09160861437626652
131,Empirical mean (non-private),"(-100.0, 100.0)",4000,16,0.125,0,STRATEGY_UNIFORM,0,32,0.08642316539610762
132,PLAN-E-ULTIMATE++,"(-100.0, 100.0)",4000,16,0.125,0,STRATEGY_UNIFORM,0,33,0.07045310242524948
133,PLAN-NOSCALE,"(-100.0, 100.0)",4000,16,0.125,0,STRATEGY_UNIFORM,0,33,0.09489888760045195
134,Instance optimal,"(-100.0, 100.0)",4000,16,0.125,0,STRATEGY_UNIFORM,0,33,0.07057956562003051
135,Empirical mean (non-private),"(-100.0, 100.0)",4000,16,0.125,0,STRATEGY_UNIFORM,0,33,0.0681933742238348
136,PLAN-E-ULTIMATE++,"(-100.0, 100.0)",4000,16,0.125,0,STRATEGY_UNIFORM,0,34,0.06064115968849528
137,PLAN-NOSCALE,"(-100.0, 100.0)",4000,16,0.125,0,STRATEGY_UNIFORM,0,34,0.0836155528067757
138,Instance optimal,"(-100.0, 100.0)",4000,16,0.125,0,STRATEGY_UNIFORM,0,34,0.05852730275129974
139,Empirical mean (non-private),"(-100.0, 100.0)",4000,16,0.125,0,STRATEGY_UNIFORM,0,34,0.05787573722366793
140,PLAN-E-ULTIMATE++,"(-100.0, 100.0)",4000,16,0.125,0,STRATEGY_UNIFORM,0,35,0.0704369912725505
141,PLAN-NOSCALE,"(-100.0, 100.0)",4000,16,0.125,0,STRATEGY_UNIFORM,0,35,0.07605592625064556
142,Instance optimal,"(-100.0, 100.0)",4000,16,0.125,0,STRATEGY_UNIFORM,0,35,0.07666866326911309
143,Empirical mean (non-private),"(-100.0, 100.0)",4000,16,0.125,0,STRATEGY_UNIFORM,0,35,0.06574753417369154
144,PLAN-E-ULTIMATE++,"(-100.0, 100.0)",4000,16,0.125,0,STRATEGY_UNIFORM,0,36,0.07212442940208365
145,PLAN-NOSCALE,"(-100.0, 100.0)",4000,16,0.125,0,STRATEGY_UNIFORM,0,36,0.08508049515521478
146,Instance optimal,"(-100.0, 100.0)",4000,16,0.125,0,STRATEGY_UNIFORM,0,36,0.07888784896407541
147,Empirical mean (non-private),"(-100.0, 100.0)",4000,16,0.125,0,STRATEGY_UNIFORM,0,36,0.07346642130047015
148,PLAN-E-ULTIMATE++,"(-100.0, 100.0)",4000,16,0.125,0,STRATEGY_UNIFORM,0,37,0.09162248563618267
149,PLAN-NOSCALE,"(-100.0, 100.0)",4000,16,0.125,0,STRATEGY_UNIFORM,0,37,0.10457699311209875
150,Instance optimal,"(-100.0, 100.0)",4000,16,0.125,0,STRATEGY_UNIFORM,0,37,0.08225632338534425
151,Empirical mean (non-private),"(-100.0, 100.0)",4000,16,0.125,0,STRATEGY_UNIFORM,0,37,0.07266535607574838
152,PLAN-E-ULTIMATE++,"(-100.0, 100.0)",4000,16,0.125,0,STRATEGY_UNIFORM,0,38,0.07897218296093717
153,PLAN-NOSCALE,"(-100.0, 100.0)",4000,16,0.125,0,STRATEGY_UNIFORM,0,38,0.09774280342140686
154,Instance optimal,"(-100.0, 100.0)",4000,16,0.125,0,STRATEGY_UNIFORM,0,38,0.07437986321438232
155,Empirical mean (non-private),"(-100.0, 100.0)",4000,16,0.125,0,STRATEGY_UNIFORM,0,38,0.07318848291469963
156,PLAN-E-ULTIMATE++,"(-100.0, 100.0)",4000,16,0.125,0,STRATEGY_UNIFORM,0,39,0.07436977004766517
157,PLAN-NOSCALE,"(-100.0, 100.0)",4000,16,0.125,0,STRATEGY_UNIFORM,0,39,0.08244146389819071
158,Instance optimal,"(-100.0, 100.0)",4000,16,0.125,0,STRATEGY_UNIFORM,0,39,0.07441558227728631
159,Empirical mean (non-private),"(-100.0, 100.0)",4000,16,0.125,0,STRATEGY_UNIFORM,0,39,0.06553448757095165
160,PLAN-E-ULTIMATE++,"(-100.0, 100.0)",4000,16,0.125,0,STRATEGY_UNIFORM,0,40,0.055283271471338734
161,PLAN-NOSCALE,"(-100.0, 100.0)",4000,16,0.125,0,STRATEGY_UNIFORM,0,40,0.06364725123765579
162,Instance optimal,"(-100.0, 100.0)",4000,16,0.125,0,STRATEGY_UNIFORM,0,40,0.061767928178962955
163,Empirical mean (non-private),"(-100.0, 100.0)",4000,16,0.125,0,STRATEGY_UNIFORM,0,40,0.05536591375193404
164,PLAN-E-ULTIMATE++,"(-100.0, 100.0)",4000,16,0.125,0,STRATEGY_UNIFORM,0,41,0.07339332260275831
165,PLAN-NOSCALE,"(-100.0, 100.0)",4000,16,0.125,0,STRATEGY_UNIFORM,0,41,0.10055416974485511
166,Instance optimal,"(-100.0, 100.0)",4000,16,0.125,0,STRATEGY_UNIFORM,0,41,0.0713416680284889
167,Empirical mean (non-private),"(-100.0, 100.0)",4000,16,0.125,0,STRATEGY_UNIFORM,0,41,0.06442722846972695
168,PLAN-E-ULTIMATE++,"(-100.0, 100.0)",4000,16,0.125,0,STRATEGY_UNIFORM,0,42,0.06201855702270609
169,PLAN-NOSCALE,"(-100.0, 100.0)",4000,16,0.125,0,STRATEGY_UNIFORM,0,42,0.06990589485746615
170,Instance optimal,"(-100.0, 100.0)",4000,16,0.125,0,STRATEGY_UNIFORM,0,42,0.07157208733246469
171,Empirical mean (non-private),"(-100.0, 100.0)",4000,16,0.125,0,STRATEGY_UNIFORM,0,42,0.06434283377609785
172,PLAN-E-ULTIMATE++,"(-100.0, 100.0)",4000,16,0.125,0,STRATEGY_UNIFORM,0,43,0.07341913878162777
173,PLAN-NOSCALE,"(-100.0, 100.0)",4000,16,0.125,0,STRATEGY_UNIFORM,0,43,0.10865920412774216
174,Instance optimal,"(-100.0, 100.0)",4000,16,0.125,0,STRATEGY_UNIFORM,0,43,0.1856796722545219
175,Empirical mean (non-private),"(-100.0, 100.0)",4000,16,0.125,0,STRATEGY_UNIFORM,0,43,0.06478360974959178
176,PLAN-E-ULTIMATE++,"(-100.0, 100.0)",4000,16,0.125,0,STRATEGY_UNIFORM,0,44,0.06593219238461802
177,PLAN-NOSCALE,"(-100.0, 100.0)",4000,16,0.125,0,STRATEGY_UNIFORM,0,44,0.08049362212127201
178,Instance optimal,"(-100.0, 100.0)",4000,16,0.125,0,STRATEGY_UNIFORM,0,44,0.07598139141036159
179,Empirical mean (non-private),"(-100.0, 100.0)",4000,16,0.125,0,STRATEGY_UNIFORM,0,44,0.07311348522192157
180,PLAN-E-ULTIMATE++,"(-100.0, 100.0)",4000,16,0.125,0,STRATEGY_UNIFORM,0,45,0.07048853680395568
181,PLAN-NOSCALE,"(-100.0, 100.0)",4000,16,0.125,0,STRATEGY_UNIFORM,0,45,0.09111311813706985
182,Instance optimal,"(-100.0, 100.0)",4000,16,0.125,0,STRATEGY_UNIFORM,0,45,0.07711554953267373
183,Empirical mean (non-private),"(-100.0, 100.0)",4000,16,0.125,0,STRATEGY_UNIFORM,0,45,0.0729743039369234
184,PLAN-E-ULTIMATE++,"(-100.0, 100.0)",4000,16,0.125,0,STRATEGY_UNIFORM,0,46,0.061646434525317345
185,PLAN-NOSCALE,"(-100.0, 100.0)",4000,16,0.125,0,STRATEGY_UNIFORM,0,46,0.07447219180458926
186,Instance optimal,"(-100.0, 100.0)",4000,16,0.125,0,STRATEGY_UNIFORM,0,46,0.054587166067780024
187,Empirical mean (non-private),"(-100.0, 100.0)",4000,16,0.125,0,STRATEGY_UNIFORM,0,46,0.05136790450774052
188,PLAN-E-ULTIMATE++,"(-100.0, 100.0)",4000,16,0.125,0,STRATEGY_UNIFORM,0,47,0.06133060784612089
189,PLAN-NOSCALE,"(-100.0, 100.0)",4000,16,0.125,0,STRATEGY_UNIFORM,0,47,0.09238292266324276
190,Instance optimal,"(-100.0, 100.0)",4000,16,0.125,0,STRATEGY_UNIFORM,0,47,0.057861366548550085
191,Empirical mean (non-private),"(-100.0, 100.0)",4000,16,0.125,0,STRATEGY_UNIFORM,0,47,0.059747107973878055
192,PLAN-E-ULTIMATE++,"(-100.0, 100.0)",4000,16,0.125,0,STRATEGY_UNIFORM,0,48,0.07870041218156433
193,PLAN-NOSCALE,"(-100.0, 100.0)",4000,16,0.125,0,STRATEGY_UNIFORM,0,48,0.10353113873306044
